ParticipantID,Trial,Fixation,Duration,PupilSize,PositionX,PositionY,StartTime,EndTime,Task,SearchType,SearchOrder,Stimulus,Directionality,Ostension,ActorGender,ParticipantGender,Year
2_2_f2,1,37,410,1534,755.5,751.9,15277,15686,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,3,93,1516,469.8,767.3,602,694,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,4,232,1552,283.7,700.9,723,954,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,18,139,1282,466.6,622.3,5661,5799,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,15,488,1432,291.6,647.4,4380,4867,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,16,485,1396,341.7,653.7,4889,5373,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,17,237,1325,398.2,634.6,5396,5632,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,19,678,1376,430.2,647.8,6070,6747,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,1,319,1388,791,241.3,7,325,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,2,162,1475,816.7,658.7,390,551,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,44,304,1319,1334.8,917.5,13236,13539,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,45,244,1248,1396.4,1001.7,13566,13809,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,1,338,1530,905.7,544.2,7,344,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,50,273,1513,1594.7,1058.5,15188,15460,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,51,176,1509,1662.4,1056.5,15496,15671,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,46,339,1249,1273.9,1051.7,13845,14183,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,47,210,1292,1479.3,1034.6,14230,14439,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,48,222,1379,1550.9,1057.1,14472,14693,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,49,433,1510,1499.1,1075.9,14714,15146,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,52,392,1540,1402.8,1007.2,15718,16109,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,40,257,1500,995.3,939.5,11529,11785,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,41,154,1489,953.5,931.5,11804,11957,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,35,321,1439,477.6,993.9,9996,10316,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,36,238,1390,553.4,947.6,10357,10594,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,37,206,1300,984.7,931.9,10658,10863,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,38,198,1329,895.2,907,10889,11086,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,42,238,1437,914.6,841,11985,12222,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,43,925,1422,863.9,813.5,12244,13168,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,3,186,1344,1040.7,691,694,879,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,4,161,1245,732.8,630,929,1089,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,5,300,1158,540.5,614.5,1117,1416,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,6,250,1170,447.2,811,1464,1713,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
3_1_f1,1,7,405,1223,348.2,761.8,1738,2142,VisualSearch,Search,1,ng021ws.jpg,NA,NA,NA,female,2018
