ParticipantID,Trial,Saccade,Direction,Amplitude,PeakVelocity,MeanVelocity,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,Blink,SearchType,SearchOrder,Task,ParticipantGender,Stimulus,ActorGender,Directionality,Ostension,Year
1_2_f,1,5,DOWN,4.3,317.2,91.48,4748,4794,47,991.4,486.8,1003.2,662,false,NA,NA,SocialEngagement,female,f_pl_o1_dir_+o,f,dir,+o,2018
1_2_f,1,1,DOWN,3.11,949.94,15.22,636,839,204,1020.3,480.7,958.9,597.8,true,NA,NA,SocialEngagement,female,f_pl_o1_dir_+o,f,dir,+o,2018
1_2_f,1,3,RIGHT,1.66,104.67,79.27,2165,2185,21,906.6,745.3,993.8,721.1,false,NA,NA,SocialEngagement,female,f_pl_o1_dir_+o,f,dir,+o,2018
1_2_f,1,4,UP,4.53,251.72,90.68,2371,2420,50,986.1,721.7,991.1,534.7,false,NA,NA,SocialEngagement,female,f_pl_o1_dir_+o,f,dir,+o,2018
1_2_f,1,6,.,0.49,38.1,48.78,4941,4950,10,999.8,687.7,992.8,668.1,false,NA,NA,SocialEngagement,female,f_pl_o1_dir_+o,f,dir,+o,2018
2_1_f,1,2,RIGHT,0.73,54.67,52.26,737,750,14,924.7,470.7,959.9,457.2,false,NA,NA,SocialEngagement,female,m_pl_o1_div_+o,m,div,+o,2018
2_1_f,1,9,.,0.46,44.58,28.97,6406,6421,16,974.1,448.9,954.6,437.3,false,NA,NA,SocialEngagement,female,m_pl_o1_div_+o,m,div,+o,2018
2_1_f,1,5,DOWN,1.2,87.13,66.75,2357,2374,18,885.7,600.9,888.4,650.3,false,NA,NA,SocialEngagement,female,m_pl_o1_div_+o,m,div,+o,2018
2_1_f,1,4,DOWN,3.69,226.21,136.63,2203,2229,27,953.8,458.2,887,598.8,false,NA,NA,SocialEngagement,female,m_pl_o1_div_+o,m,div,+o,2018
2_1_f,1,1,UP,6.54,443.15,130.71,516,565,50,790.3,736.5,922.3,485.9,false,NA,NA,SocialEngagement,female,m_pl_o1_div_+o,m,div,+o,2018
2_1_f,1,3,.,0.49,39.22,44.09,1203,1213,11,953.6,460.3,959.7,441.5,false,NA,NA,SocialEngagement,female,m_pl_o1_div_+o,m,div,+o,2018
2_1_f,1,6,UP,4.83,272.62,89.43,3319,3372,54,808.2,654.7,929.6,479.8,false,NA,NA,SocialEngagement,female,m_pl_o1_div_+o,m,div,+o,2018
2_1_f,1,8,RIGHT,0.68,60.4,33.93,4702,4721,20,930.1,431.7,957.1,450,false,NA,NA,SocialEngagement,female,m_pl_o1_div_+o,m,div,+o,2018
2_1_f,1,7,.,0.45,696.39,2.82,4438,4596,159,938.9,458.7,938.1,476.6,true,NA,NA,SocialEngagement,female,m_pl_o1_div_+o,m,div,+o,2018
2_2_f2,1,12,RIGHT,1.21,78.64,66.95,3474,3491,18,215.1,619.6,284.3,613.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,10,LEFT,1.38,90.23,68.82,2703,2722,20,376.6,731.9,299.6,717.1,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,11,LEFT,1.6,103.46,63.94,2872,2896,25,310.5,723.5,220.8,742.6,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,13,UP,0.8,48.98,37.92,3723,3743,21,258.2,632.4,244.8,600.4,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,9,RIGHT,2.01,133.24,87.25,2441,2463,23,281.2,708.9,387.3,743.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,16,RIGHT,1.63,112.61,74.06,5374,5395,22,322.5,663.9,411.2,685.4,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,17,RIGHT,1.01,118.45,36.14,5633,5660,28,394,646.6,449.6,657.5,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,14,RIGHT,1.23,93.23,47.41,4354,4379,26,253.2,631.1,303.7,667.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,15,RIGHT,1.39,94,66.36,4868,4888,21,278.5,677.6,352.5,700.9,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,3,LEFT,3.7,216.68,132.17,695,722,28,464.8,772.2,275.3,698.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,4,LEFT,1.08,84.06,46.8,955,977,23,282.7,697.4,226.7,676.9,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,5,LEFT,0.7,54.25,63.67,1146,1156,11,227.4,712.3,194.8,694,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,6,DOWN,1.44,108.38,55.44,1419,1444,26,183.8,709.5,163.3,770.3,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,7,UP,2,114.07,80.1,1863,1887,25,153.3,757.9,209.5,681.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,8,RIGHT,1.28,90.11,55.82,2205,2227,23,205.2,730.1,279.9,723.9,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,18,RIGHT,1.02,21.16,3.78,5800,6069,270,394,646.6,449.6,657.5,true,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,19,UP,3.51,747.54,22.06,6748,6906,159,421.5,736.2,488.2,597.2,true,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,20,RIGHT,1.52,97.75,75.87,7604,7623,20,457.6,624,533.8,595.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,21,RIGHT,0.87,61.88,51.31,8227,8243,17,516,609.3,564,616,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,22,RIGHT,1.47,96.43,67.03,8619,8640,22,537.3,654,612.5,679.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,23,LEFT,2.04,136.49,72.69,8960,8987,28,601.7,676.4,489.2,693.4,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,24,RIGHT,1.8,129.49,74.95,9355,9378,24,502.1,690.3,599.4,712,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,25,RIGHT,1.25,109.02,51.99,9938,9961,24,573.7,730.4,634.9,756.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,1,DOWN,10.43,538.24,163.01,326,389,64,793.4,243.9,818.5,663.4,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,2,LEFT,6.05,300.8,121.02,552,601,50,814.4,655.5,498.8,751,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,26,RIGHT,0.98,119.49,27.27,10980,11015,36,641.9,827.9,695,814.7,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,27,DOWN,1.48,99.31,70.71,11543,11563,21,689,816.2,653.9,875.2,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,28,RIGHT,1.9,127.81,82.48,12183,12205,23,651.2,919,760.2,925,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,29,RIGHT,2.71,163.64,104.09,12476,12501,26,737.8,869.7,890.2,852.7,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,30,UP,0.72,50.43,37.71,13433,13451,19,893,854.2,909.8,825.9,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,31,.,0.39,39.29,43.81,13674,13682,9,897.4,847.7,875.1,846.5,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,32,RIGHT,4.78,282.48,149.36,14017,14048,32,868.4,831.7,1101.6,940.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,33,UP,4.46,117.58,87.52,14529,14579,51,1096.9,922.3,923.7,780.3,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,34,LEFT,3.06,182.33,87.49,14706,14740,35,914,773.6,756.7,721.9,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,49,UP,2.75,765.95,16.77,20816,20979,164,857.9,776.8,858.6,661,true,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,35,RIGHT,1.47,97.62,69.77,14932,14952,21,749.3,712.9,829.7,724.4,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,46,RIGHT,0.59,92.47,19.62,19740,19769,30,779.1,728.9,810.2,737,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,47,LEFT,1.02,68.67,63.48,19917,19932,16,816.9,737.5,760.1,738.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,48,RIGHT,1.8,156.68,49.88,20291,20326,36,763.8,718.2,861.3,736.2,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,36,LEFT,1.24,85.95,62.14,15257,15276,20,817.3,746.6,747.9,742.1,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,43,.,0.35,63.13,13.12,18473,18499,27,803.1,770.6,822.9,772.2,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,40,RIGHT,1.26,111.77,33.13,16771,16808,38,726.4,776.3,778.2,739.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,37,RIGHT,2.21,139.71,78.83,15687,15714,28,745,772.5,837.1,836.5,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,38,LEFT,1.46,92.99,72.93,15895,15914,20,826.7,815.6,746.9,799.9,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,44,LEFT,0.57,44.65,51.61,18731,18741,11,838,759.7,806.3,761.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,45,LEFT,0.57,48.01,56.9,18971,18980,10,810.2,745.7,780.1,737.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,41,RIGHT,1.36,100.57,59.18,17336,17358,23,765.8,761.3,832.1,790.4,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,42,UP,1.13,76.47,62.84,17999,18016,18,829.6,794.8,797.3,753.2,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
2_2_f2,1,39,.,0.36,37.84,44.62,16259,16266,8,743.9,788.4,724,790.8,false,Count,2,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,13,RIGHT,4.67,298.98,79.07,4203,4261,59,1265.2,788.5,1531.5,773.2,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,62,RIGHT,1.33,158.03,34.16,19029,19067,39,280.3,556.6,335.2,595,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,63,DOWN,1.05,88.32,43.96,19355,19378,24,345.8,613.7,367.1,655.1,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,64,LEFT,0.75,72.22,32.66,19598,19620,23,375.9,661.2,335.5,672.2,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,61,LEFT,1.92,177.29,47.97,18499,18538,40,405.9,551.7,297.1,555,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,1,DOWN,3.77,318.97,85.58,345,388,44,904.9,543.9,916.6,698.6,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,2,RIGHT,2.66,125.29,83.15,662,693,32,907.8,723.3,1049.2,690.5,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,3,LEFT,5.28,320.25,107.73,880,928,49,1041.2,687.7,758.3,632.2,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,4,LEFT,3.37,194.77,124.77,1090,1116,27,733.7,634.7,550.2,606.2,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,5,DOWN,4.49,322.91,95.62,1417,1463,47,538.9,611.1,457.1,791.4,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
